Wallet address:	Manager(s):
5Gsqvp6wB95ZHB1QCWCJaLNTo4ywXa6DhVjA71MwciHbwiLh	🐤 bird
5D5K26U2BHU37dmyjsd32iYsX6TgUbWJ9tT2Rm5he4a7VHcv	🐝 Kstar
5Do6saffNhYqq2HKfmQNNBWq7gEeWYTEnqG61onaNKHSjtHv	🏇 astro
5EqSo8MqCoX5Kx9ZZ96vUcxTr9DkiiEqa4aPKAP2MnYTwWWs	🎰 lucky
5FTaW4cKjjkdYZUp3H7Jh4R5oVZfJ2Gn7Lq3kuEBZCm75Sar	🦜 phoenix
5GemfyzZ796wKCUBSMtXwgGQdtq8uUGungXkxU5cNc6ksS7G	🦜 phoenix
5HYUiGwNfBvLuLkcMckk3E9Sgn7uobz47bE9gECzAocrbvqK	🅰️
5CfPHxx8QAjx4i2nauQJnwe2qiDm9Jzc9jAje1EgEjR2cNi8	🦜 phoenix
5EcCB1bo7yjEypNwtb25LLfb4d14NtefapeKMgSB1CS27shV	🅰️
5H8ZXFau6MkPKXKbUqvQTjRFMDpsWfr8vpEhs4XSfs6M2bXW	🅰️
5FkQvGsDbVZS8cv6qKi4eVMSfHr59Wdjj2jdvYCLuctrxNK6	🅰️
5H1aGrPn1JDy7uP79gut86ieG6ZcnFajafQQMFrSAEDECE1g	🦜 phoenix
5Hja6o8JARY3EC1ejyyJs4E7xeVFcr4TEeeTAxXjgRz7fx4y	🦜 phoenix
5HQSgxXMHAVDB3raNyP8s9zgwArTpQnzEaitfDoG6UqQuw1D	🅰️
5GsuiMtHYvwXP4pigWhaNxjBAcTjpEfQVKQvDyuGm9xjENRT	🦜 phoenix+🅰️
5E7NqoZHBiqFVtUbHzYrgggT5DuBNPjqyoZ15LEbDfPWkusR	🦜 phoenix+🅰️
5GsuiMtHYvwXP4pigWhaNxjBAcTjpEfQVKQvDyuGm9xjENRT	🦜 phoenix+🅰️
5CAAjostamK8DghRbStprp4rLFGtSiqoXrUwbka8JBMs4YY9	🦜 phoenix+🅰️
5EFhqJizryxuykPSq6aPEj8Uz2cUr69h1MtKFRPwZ2nE5bKL	🦜 phoenix+🅰️
5EfQXCiE2uR8AUFneAWEKAk9LUTMwAKrHbHLQpe3gpJJG2RY	🦜 phoenix+🅰️
5CfKyqkFJYCNSNLd2dHpm5umzNGwW8eQJr1VB52wNfbhnofq	🦜 phoenix+🅰️
5C594GVfob9FtD5qVMFmSSSr5NDangvpf7wiVrUbPwGg21XY	🏇 astro
5D9j8hbo7o8CQBPMDJD6cU8WCqmhy8zoUSg6eog8vVwbBG1i	1️⃣8️⃣0️⃣3️⃣
5D5W6GsKhDk3Hsm41PMfLFxePPLLKaEJ9GMJmPbgMcPijKWT	🎰 lucky+🐷 piglet+🐝 Kstar
5GnciuezsyHS4rT3uECyX3FDRX6QsHRFoNvbG9knfVzxXV7r	🐝 Kstar+🗡 ares
5EWTBcNKcLeA9jEXTxpbdqPGki5F2quNbwQNvnocLs5eoLcW	🐤 bird
5CfYRq6v8qwCXWGvTGLTGTe1CaiZgA14tAUgaUqjhphnUQBX	🏇 astro
5EyckJpFVEWbTSnuv9TZS35YVCWoV5UoXGhjvdFByL156ruV	1️⃣8️⃣0️⃣3️⃣
5HKGS4zJiRNtmaRdHA3SvVPde9YgfT3J7noV3CSHimS7SEZB	🏇 astro
5ETm73kiyLFCyM4X8HJTGg6sGyUA7u3LES9QAdSW4XBYD9Zz	🦜 phoenix
5CtkTH5DxFW29zRj6er3k7oA9KgY2NLG9ddo27iS4FSG2ofg	🎰 lucky
5CXTLaiwaALp42QvqRLUJ8crxXKn4aHwLbvuLLCQkh1VxcWW	🐝 Kstar+🐉 top+🗡 ares
5Hfsq5bcfcYgPjzBvL4qqNm9mBniTWLgqLcYc9VLo8nxvEsb	🦜 phoenix
5Ci8Rmkfajef8QuVDuw2fgRd1ixhTHZJsFStXVtnmWWBTj39	🏇 astro
5FHAovbJyBtcBYqMXy8YzhTYgy4pfthwqyCvpAY9JaYYVhca	🎰 lucky
5CSXrovkCJ79FREC4wMafj5pvHSKjfLmaVJXrMVLcgYqo6Rq	1️⃣8️⃣0️⃣3️⃣
5HpPkELYbkvK8rUKfUj7pdrz7YhkDsusvirXPotX6fEvrmiK	🗡 ares
5GWjKBFMcBxw9Nv2ESgwNZQTfoQ4wYaoQe5aHoC2NePAZGv1	🅰️+🐉 top
5CAkDX2pXonFTRfHuq8JkwztL31C2rZrf2EHzaMVCmriWBf6	🐝 Kstar
5CUp288jwSiMjKGjcgTkf8LtMHSdPBfHNnpBV7RH2CBWWQfb	🏇 astro
